"year","month","supply-1","demand-1","supply-2","demand-2","supply-3","demand-3","supply-4","demand-4","supply-5","demand-5","supply-6","demand-6","supply-7","demand-7","supply-8","demand-8","supply-9","demand-9","supply-10","demand-10","supply-11","demand-11","supply-12","demand-12","user-1","demand"
2015,11,6611350,3702500,6540504,3476312,6807766,3776826,7015276,3127055,6825515,3417987,7103554,3168004,6850783,3649790,7022306,2919207,6471948,3516446,7421946,3327876,6994684,3765393,6482996,3312711,6650695,3262997
2015,12,6366047,3262997,6611350,3702500,6540504,3476312,6807766,3776826,7015276,3127055,6825515,3417987,7103554,3168004,6850783,3649790,7022306,2919207,6471948,3516446,7421946,3327876,6994684,3765393,6650695,3906145
2016,1,5584253,3906145,6366047,3262997,6611350,3702500,6540504,3476312,6807766,3776826,7015276,3127055,6825515,3417987,7103554,3168004,6850783,3649790,7022306,2919207,6471948,3516446,7421946,3327876,6761673,3247210
2016,2,6570032,3247210,5584253,3906145,6366047,3262997,6611350,3702500,6540504,3476312,6807766,3776826,7015276,3127055,6825515,3417987,7103554,3168004,6850783,3649790,7022306,2919207,6471948,3516446,6761673,3332441
2016,3,7062481,3332441,6570032,3247210,5584253,3906145,6366047,3262997,6611350,3702500,6540504,3476312,6807766,3776826,7015276,3127055,6825515,3417987,7103554,3168004,6850783,3649790,7022306,2919207,6761673,2847590
2016,4,7112162,2847590,7062481,3332441,6570032,3247210,5584253,3906145,6366047,3262997,6611350,3702500,6540504,3476312,6807766,3776826,7015276,3127055,6825515,3417987,7103554,3168004,6850783,3649790,6761673,3504819
2016,5,6887175,3504819,7112162,2847590,7062481,3332441,6570032,3247210,5584253,3906145,6366047,3262997,6611350,3702500,6540504,3476312,6807766,3776826,7015276,3127055,6825515,3417987,7103554,3168004,6761673,3095544
2016,6,6984635,3095544,6887175,3504819,7112162,2847590,7062481,3332441,6570032,3247210,5584253,3906145,6366047,3262997,6611350,3702500,6540504,3476312,6807766,3776826,7015276,3127055,6825515,3417987,6761673,3636165
2016,7,6848805,3636165,6984635,3095544,6887175,3504819,7112162,2847590,7062481,3332441,6570032,3247210,5584253,3906145,6366047,3262997,6611350,3702500,6540504,3476312,6807766,3776826,7015276,3127055,6761673,3343959
2016,8,6885609,3343959,6848805,3636165,6984635,3095544,6887175,3504819,7112162,2847590,7062481,3332441,6570032,3247210,5584253,3906145,6366047,3262997,6611350,3702500,6540504,3476312,6807766,3776826,6761673,3905367
2016,9,6899411,3905367,6885609,3343959,6848805,3636165,6984635,3095544,6887175,3504819,7112162,2847590,7062481,3332441,6570032,3247210,5584253,3906145,6366047,3262997,6611350,3702500,6540504,3476312,6761673,3536362
2016,10,6799919,3536362,6899411,3905367,6885609,3343959,6848805,3636165,6984635,3095544,6887175,3504819,7112162,2847590,7062481,3332441,6570032,3247210,5584253,3906145,6366047,3262997,6611350,3702500,6761673,3850798
2016,11,6542017,3850798,6799919,3536362,6899411,3905367,6885609,3343959,6848805,3636165,6984635,3095544,6887175,3504819,7112162,2847590,7062481,3332441,6570032,3247210,5584253,3906145,6366047,3262997,6761673,3341212
2016,12,5609413,3341212,6542017,3850798,6799919,3536362,6899411,3905367,6885609,3343959,6848805,3636165,6984635,3095544,6887175,3504819,7112162,2847590,7062481,3332441,6570032,3247210,5584253,3906145,6761673,3837090
2017,1,5854286,3837090,5609413,3341212,6542017,3850798,6799919,3536362,6899411,3905367,6885609,3343959,6848805,3636165,6984635,3095544,6887175,3504819,7112162,2847590,7062481,3332441,6570032,3247210,6875844,3093073
2017,2,6538394,3093073,5854286,3837090,5609413,3341212,6542017,3850798,6799919,3536362,6899411,3905367,6885609,3343959,6848805,3636165,6984635,3095544,6887175,3504819,7112162,2847590,7062481,3332441,6875844,3413436
2017,3,6620666,3413436,6538394,3093073,5854286,3837090,5609413,3341212,6542017,3850798,6799919,3536362,6899411,3905367,6885609,3343959,6848805,3636165,6984635,3095544,6887175,3504819,7112162,2847590,6875844,3104047
2017,4,7166242,3104047,6620666,3413436,6538394,3093073,5854286,3837090,5609413,3341212,6542017,3850798,6799919,3536362,6899411,3905367,6885609,3343959,6848805,3636165,6984635,3095544,6887175,3504819,6875844,3690737
2017,5,6756151,3690737,7166242,3104047,6620666,3413436,6538394,3093073,5854286,3837090,5609413,3341212,6542017,3850798,6799919,3536362,6899411,3905367,6885609,3343959,6848805,3636165,6984635,3095544,6875844,3024196
2017,6,6838237,3024196,6756151,3690737,7166242,3104047,6620666,3413436,6538394,3093073,5854286,3837090,5609413,3341212,6542017,3850798,6799919,3536362,6899411,3905367,6885609,3343959,6848805,3636165,6875844,3619925
2017,7,6621253,3619925,6838237,3024196,6756151,3690737,7166242,3104047,6620666,3413436,6538394,3093073,5854286,3837090,5609413,3341212,6542017,3850798,6799919,3536362,6899411,3905367,6885609,3343959,6875844,3304042
2017,8,7095033,3304042,6621253,3619925,6838237,3024196,6756151,3690737,7166242,3104047,6620666,3413436,6538394,3093073,5854286,3837090,5609413,3341212,6542017,3850798,6799919,3536362,6899411,3905367,6875844,3840688
2017,9,6965154,3840688,7095033,3304042,6621253,3619925,6838237,3024196,6756151,3690737,7166242,3104047,6620666,3413436,6538394,3093073,5854286,3837090,5609413,3341212,6542017,3850798,6799919,3536362,6875844,3441812
2017,10,6740351,3441812,6965154,3840688,7095033,3304042,6621253,3619925,6838237,3024196,6756151,3690737,7166242,3104047,6620666,3413436,6538394,3093073,5854286,3837090,5609413,3341212,6542017,3850798,6875844,4095461
2017,11,6755474,4095461,6740351,3441812,6965154,3840688,7095033,3304042,6621253,3619925,6838237,3024196,6756151,3690737,7166242,3104047,6620666,3413436,6538394,3093073,5854286,3837090,5609413,3341212,6875844,3352968
2017,12,5670267,3352968,6755474,4095461,6740351,3441812,6965154,3840688,7095033,3304042,6621253,3619925,6838237,3024196,6756151,3690737,7166242,3104047,6620666,3413436,6538394,3093073,5854286,3837090,6875844,3936571
2018,1,5760090,3936571,5670267,3352968,6755474,4095461,6740351,3441812,6965154,3840688,7095033,3304042,6621253,3619925,6838237,3024196,6756151,3690737,7166242,3104047,6620666,3413436,6538394,3093073,6982040,3185279
2018,2,7237072,3185279,5760090,3936571,5670267,3352968,6755474,4095461,6740351,3441812,6965154,3840688,7095033,3304042,6621253,3619925,6838237,3024196,6756151,3690737,7166242,3104047,6620666,3413436,6982040,3430195
2018,3,6329462,3430195,7237072,3185279,5760090,3936571,5670267,3352968,6755474,4095461,6740351,3441812,6965154,3840688,7095033,3304042,6621253,3619925,6838237,3024196,6756151,3690737,7166242,3104047,6982040,2974695
2018,4,6760455,2974695,6329462,3430195,7237072,3185279,5760090,3936571,5670267,3352968,6755474,4095461,6740351,3441812,6965154,3840688,7095033,3304042,6621253,3619925,6838237,3024196,6756151,3690737,6982040,3794300
2018,5,6255637,3794300,6760455,2974695,6329462,3430195,7237072,3185279,5760090,3936571,5670267,3352968,6755474,4095461,6740351,3441812,6965154,3840688,7095033,3304042,6621253,3619925,6838237,3024196,6982040,3253831
2018,6,6553162,3253831,6255637,3794300,6760455,2974695,6329462,3430195,7237072,3185279,5760090,3936571,5670267,3352968,6755474,4095461,6740351,3441812,6965154,3840688,7095033,3304042,6621253,3619925,6982040,3660435
2018,7,6399356,3660435,6553162,3253831,6255637,3794300,6760455,2974695,6329462,3430195,7237072,3185279,5760090,3936571,5670267,3352968,6755474,4095461,6740351,3441812,6965154,3840688,7095033,3304042,6982040,3282934
2018,8,6673145,3282934,6399356,3660435,6553162,3253831,6255637,3794300,6760455,2974695,6329462,3430195,7237072,3185279,5760090,3936571,5670267,3352968,6755474,4095461,6740351,3441812,6965154,3840688,6982040,3855209
2018,9,6911494,3855209,6673145,3282934,6399356,3660435,6553162,3253831,6255637,3794300,6760455,2974695,6329462,3430195,7237072,3185279,5760090,3936571,5670267,3352968,6755474,4095461,6740351,3441812,6982040,3475109
2018,10,6875162,3475109,6911494,3855209,6673145,3282934,6399356,3660435,6553162,3253831,6255637,3794300,6760455,2974695,6329462,3430195,7237072,3185279,5760090,3936571,5670267,3352968,6755474,4095461,6982040,3796770
2018,11,6843785,3796770,6875162,3475109,6911494,3855209,6673145,3282934,6399356,3660435,6553162,3253831,6255637,3794300,6760455,2974695,6329462,3430195,7237072,3185279,5760090,3936571,5670267,3352968,6982040,3179779
2018,12,5949171,3179779,6843785,3796770,6875162,3475109,6911494,3855209,6673145,3282934,6399356,3660435,6553162,3253831,6255637,3794300,6760455,2974695,6329462,3430195,7237072,3185279,5760090,3936571,6982040,3838988
