"year","month","supply-1","demand-1","supply-2","demand-2","supply-3","demand-3","supply-4","demand-4","supply-5","demand-5","supply-6","demand-6","supply-7","demand-7","supply-8","demand-8","supply-9","demand-9","supply-10","demand-10","supply-11","demand-11","supply-12","demand-12","user-1","demand"
2008,5,7628810,3833660,7983376,3270182,7452264,3661433,7995247,3347712,7782151,3996027,7533565,3617571,7926520,3992224,7604389,3643272,7747693,3813729,7760825,3217844,7372873,3577775,7784651,3447583,6014175,3359383
2008,6,7747703,3359383,7628810,3833660,7983376,3270182,7452264,3661433,7995247,3347712,7782151,3996027,7533565,3617571,7926520,3992224,7604389,3643272,7747693,3813729,7760825,3217844,7372873,3577775,6014175,3645331
2008,7,7400800,3645331,7747703,3359383,7628810,3833660,7983376,3270182,7452264,3661433,7995247,3347712,7782151,3996027,7533565,3617571,7926520,3992224,7604389,3643272,7747693,3813729,7760825,3217844,6014175,3320752
2008,8,7708394,3320752,7400800,3645331,7747703,3359383,7628810,3833660,7983376,3270182,7452264,3661433,7995247,3347712,7782151,3996027,7533565,3617571,7926520,3992224,7604389,3643272,7747693,3813729,6014175,3783723
2008,9,7648487,3783723,7708394,3320752,7400800,3645331,7747703,3359383,7628810,3833660,7983376,3270182,7452264,3661433,7995247,3347712,7782151,3996027,7533565,3617571,7926520,3992224,7604389,3643272,6014175,3585584
2008,10,7562824,3585584,7648487,3783723,7708394,3320752,7400800,3645331,7747703,3359383,7628810,3833660,7983376,3270182,7452264,3661433,7995247,3347712,7782151,3996027,7533565,3617571,7926520,3992224,6014175,3979475
2008,11,7886462,3979475,7562824,3585584,7648487,3783723,7708394,3320752,7400800,3645331,7747703,3359383,7628810,3833660,7983376,3270182,7452264,3661433,7995247,3347712,7782151,3996027,7533565,3617571,6014175,3527947
2008,12,7614012,3527947,7886462,3979475,7562824,3585584,7648487,3783723,7708394,3320752,7400800,3645331,7747703,3359383,7628810,3833660,7983376,3270182,7452264,3661433,7995247,3347712,7782151,3996027,6014175,3726699
2009,1,7802772,3726699,7614012,3527947,7886462,3979475,7562824,3585584,7648487,3783723,7708394,3320752,7400800,3645331,7747703,3359383,7628810,3833660,7983376,3270182,7452264,3661433,7995247,3347712,6119270,3166599
2009,2,7936753,3166599,7802772,3726699,7614012,3527947,7886462,3979475,7562824,3585584,7648487,3783723,7708394,3320752,7400800,3645331,7747703,3359383,7628810,3833660,7983376,3270182,7452264,3661433,6119270,3797052
